primary_key,product_code,color_code,product_name,product_name_en,collection,price,price_can,vendant_edll,cost,cost_us,e_lab_us_price,e_lab_can_price,description,manufacturer,real_manufacturer,abbe,density,sphere_min,sphere_max,sphere_over_max,sphere_over_min,cyl_over_min,cyl_min,cyl_max,add_min,add_max,index_v,coating,photo,polar,prod_status,min_height,max_height,product_line,lens_category,tintable,optipoints_bonus,expressable,diameter,corridor,last_update,product_code_swiss,product_code_hko,product_code_gkb,maj_prix_mars2019,maj_prix_juillet2021,maj_prix_novembre2022,cost_gkb_backup,categorie_optipro
98637,BIXT74TGARS," ","Precision+ 1.74 Design Tout Usage Transition Grey with Super-AR (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design All Purpose Transition Grey with Super-AR (Corridor 11mm) [2nd pair]","Entrepot KNR",146.00,146.00,365.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Super AR",Grey,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"BETTER 2ND"
98634,BIXL74TGHC," ","Precision+ 1.74 Design Tout Usage Transition Grey with HC (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design All Purpose Transition Grey with HC (Corridor 11mm) [2nd pair]","Entrepot KNR",128.00,128.00,320.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Hard Coat",Grey,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-08",,"BETTER 2ND"
98631,BIXT74TBARS," ","Precision+ 1.74 Design Tout Usage Transition Brown with Super-AR (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design All Purpose Transition Brown with Super-AR (Corridor 11mm) [2nd pair]","Entrepot KNR",146.00,146.00,365.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Super AR",Brown,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"BETTER 2ND"
98707,BSD274TGARS," ","Precision+ 1.74 Design Interieur Transition Grey with Super-AR (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design Indoor Transition Grey with Super-AR (Corridor 11mm) [2nd pair]","Entrepot KNR",122.00,122.00,305.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",Grey,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98148,BIXL60TBHC," ","Precision+ 1.60 Design Tout Usage Transition Brown with HC (Corridor 11mm) [2ieme paire]","Precision+ 1.60 Design All Purpose Transition Brown with HC (Corridor 11mm) [2nd pair]","Entrepot KNR",106.00,106.00,265.00,78.00,78.00,0.00,0.00," "," "," ",0,0.00,-9.50,5.50,5.50,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"Hard Coat",Brown,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-08",,"BETTER 2ND"
98704,BSD274TGHC," ","Precision+ 1.74 Design Interieur Transition Grey with HC (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design Indoor Transition Grey with HC (Corridor 11mm) [2nd pair]","Entrepot KNR",108.00,108.00,270.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Hard Coat",Grey,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98151,BIXT60TBARS," ","Precision+ 1.60 Design Tout Usage Transition Brown with Super-AR (Corridor 11mm) [2ieme paire]","Precision+ 1.60 Design All Purpose Transition Brown with Super-AR (Corridor 11mm) [2nd pair]","Entrepot KNR",124.00,124.00,310.00,86.24,86.24,0.00,0.00," "," "," ",0,0.00,-9.50,5.50,5.50,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"Super AR",Brown,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"BETTER 2ND"
98701,BSD274TBARS," ","Precision+ 1.74 Design Interieur Transition Brown with Super-AR (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design Indoor Transition Brown with Super-AR (Corridor 11mm) [2nd pair]","Entrepot KNR",122.00,122.00,305.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",Brown,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98698,BSD274TBHC," ","Precision+ 1.74 Design Interieur Transition Brown with HC (Corridor 11mm) [2ieme paire]","Precision+ 1.74 Design Indoor Transition Brown with HC (Corridor 11mm) [2nd pair]","Entrepot KNR",108.00,108.00,270.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Hard Coat",Brown,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98673,BHD2D74TGARS," ","Precision+ 1.74 Design Conduite Transition Grey with Super-AR (Corridor 15mm) [2ieme paire]","Precision+ 1.74 Design Drive Transition Grey with Super-AR (Corridor 15mm) [2nd pair]","Entrepot KNR",122.00,122.00,305.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",Grey,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",15,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
