primary_key,product_code,color_code,product_name,product_name_en,collection,price,price_can,vendant_edll,cost,cost_us,e_lab_us_price,e_lab_can_price,description,manufacturer,real_manufacturer,abbe,density,sphere_min,sphere_max,sphere_over_max,sphere_over_min,cyl_over_min,cyl_min,cyl_max,add_min,add_max,index_v,coating,photo,polar,prod_status,min_height,max_height,product_line,lens_category,tintable,optipoints_bonus,expressable,diameter,corridor,last_update,product_code_swiss,product_code_hko,product_code_gkb,maj_prix_mars2019,maj_prix_juillet2021,maj_prix_novembre2022,cost_gkb_backup,categorie_optipro
51550,XTR5SPF8GHC,,"Single Vision 1.5 Transitions Grey with HD AR","Single Vision 1.5 Transitions Grey with HD AR","Entrepot HKO",116.00,116.00,290.00,0.00,0.00,0.00,0.00,,"Direct-Lens Exclusive Partner",HKO,0,0.00,-6.00,3.00,3.00,-6.00,-4.00,-4.00,0.00,0.00,0.00,1.50,"HD AR",Grey,None,active,0,0.00,directlens,sv,no,0,0,90,,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-09",,"SIMPLE VISION SURFACE"
45724,1WASTPG+MV,,"iAction 1.67 SV Transitions Grey with Xlr","iAction 1.67 SV Transitions Grey with Xlr","Entrepot Swiss",200.00,200.00,500.00,158.73,122.10,0.00,0.00,,"Direct-Lens Exclusive Partner",Swiss,0,0.00,-5.00,4.00,4.00,-5.00,-5.00,-4.00,0.00,0.00,0.00,1.67,Xlr,Grey,None,active,0,0.00,ifcclubca,sv,no,0,0,90,,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"IACTION SV"
47938,WN7G,,"Promo Duo Digital par Optotech 1.67 Transitions VII Grey with HC (Corridor 11mm)","Promo Duo Digital by Optotech 1.67 Transitions VII Grey with HC (Corridor 11mm)","Entrepot Sky",144.00,144.00,360.00,97.60,72.80,132.00,132.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.00,9.00,9.00,-10.00,-6.00,-6.00,0.00,0.75,4.00,1.67,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,11,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47939,W67G,,"Promo Duo Digital par Optotech 1.67 Transitions VII Grey with HC (Corridor 9mm)","Promo Duo Digital by Optotech 1.67 Transitions VII Grey with HC (Corridor 9mm)","Entrepot Sky",144.00,144.00,360.00,97.60,72.80,132.00,132.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.00,9.00,9.00,-10.00,-6.00,-6.00,0.00,0.75,4.00,1.67,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,9,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47940,WG67,,"Promo Duo Digital par Optotech 1.67 Transitions VII Grey with HC (Corridor 7mm)","Promo Duo Digital by Optotech 1.67 Transitions VII Grey with HC (Corridor 7mm)","Entrepot Sky",144.00,144.00,360.00,97.60,72.80,132.00,132.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.00,9.00,9.00,-10.00,-6.00,-6.00,0.00,0.75,4.00,1.67,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,7,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47932,WNB7,,"Promo Duo Digital par Optotech 1.67 Transitions VII Brown with HC (Corridor 9mm)","Promo Duo Digital by Optotech 1.67 Transitions VII Brown with HC (Corridor 9mm)","Entrepot Sky",144.00,144.00,360.00,97.60,72.80,132.00,132.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.00,9.00,9.00,-10.00,-6.00,-6.00,0.00,0.75,4.00,1.67,"Hard Coat",Brown,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,9,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47933,WB67,,"Promo Duo Digital par Optotech 1.67 Transitions VII Brown with HC (Corridor 7mm)","Promo Duo Digital by Optotech 1.67 Transitions VII Brown with HC (Corridor 7mm)","Entrepot Sky",144.00,144.00,360.00,97.60,72.80,132.00,132.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.00,9.00,9.00,-10.00,-6.00,-6.00,0.00,0.75,4.00,1.67,"Hard Coat",Brown,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,7,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47910,DNG5,,"Promo Duo Digital par Optotech 1.59 Poly Transitions VII Grey with HC (Corridor 11mm)","Promo Duo Digital by Optotech 1.59 Poly Transitions VII Grey with HC (Corridor 11mm)","Entrepot Sky",124.00,124.00,310.00,78.47,58.20,116.00,116.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-14.00,10.00,10.00,-14.00,-4.00,-4.00,0.00,0.75,4.00,1.59,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,11,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47911,DNG3,,"Promo Duo Digital par Optotech 1.59 Poly Transitions VII Grey with HC (Corridor 9mm)","Promo Duo Digital by Optotech 1.59 Poly Transitions VII Grey with HC (Corridor 9mm)","Entrepot Sky",124.00,124.00,310.00,78.47,58.20,116.00,116.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-14.00,10.00,10.00,-14.00,-4.00,-4.00,0.00,0.75,4.00,1.59,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,9,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47896,WFG,WFG,"Promo Duo Digital par Optotech 1.5 Transitions VII Grey with HC (Corridor 11mm)","Promo Duo Digital by Optotech 1.5 Transitions VII Grey with HC (Corridor 11mm)","Entrepot Promo",96.00,96.00,240.00,52.16,0.00,96.00,96.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.50,8.50,8.50,-10.50,-6.00,-6.00,0.00,0.75,4.00,1.50,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,11,"0000-00-00 00:00:00",,,,"ne s applique pas car hc 1.5","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47897,WSIG,WSIG,"Promo Duo Digital par Optotech 1.5 Transitions VII Grey with HC (Corridor 9mm)","Promo Duo Digital by Optotech 1.5 Transitions VII Grey with HC (Corridor 9mm)","Entrepot Promo",96.00,96.00,240.00,52.16,0.00,96.00,96.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.50,8.50,8.50,-10.50,-6.00,-6.00,0.00,0.75,4.00,1.50,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,9,"0000-00-00 00:00:00",,,,"ne s applique pas car hc 1.5","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
47898,WSMG,WSMG,"Promo Duo Digital par Optotech 1.5 Transitions VII Grey with HC (Corridor 7mm)","Promo Duo Digital by Optotech 1.5 Transitions VII Grey with HC (Corridor 7mm)","Entrepot Promo",96.00,96.00,240.00,52.16,0.00,96.00,96.00,,"Direct-Lens Exclusive Partner",GKB,0,0.00,-10.50,8.50,8.50,-10.50,-6.00,-6.00,0.00,0.75,4.00,1.50,"Hard Coat",Grey,None,active,13,34.00,directlens,"prog ff",yes,10,0,90,7,"0000-00-00 00:00:00",,,,"ne s applique pas car hc 1.5","ne s applique pas car hc","Prix mis a jour par (script de Charles)2022-11-09",,"PROGRESSIF DUO NUMERIQUE HD"
60576,PTR7BCS8GHC,h40,"Digital Progressive IOT 1.67 Transitions Grey with HD AR (Corridor 11mm)","Digital Progressive IOT 1.67 Transitions Grey with HD AR (Corridor 11mm)","Entrepot HKO",204.00,204.00,510.00,48.40,48.40,0.00,0.00,,HKO,HKO,0,0.00,-12.00,10.00,10.00,-12.00,-8.00,-8.00,0.00,0.50,3.50,1.67,"HD AR",Grey,None,active,13,34.00,directlens,"prog ff",no,0,0,110,11,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"NUM IOT"
60575,PTR7BCS8GHC,h40,"Digital Progressive IOT 1.67 Transitions Grey with HD AR (Corridor 9mm)","Digital Progressive IOT 1.67 Transitions Grey with HD AR (Corridor 9mm)","Entrepot HKO",204.00,204.00,510.00,48.40,48.40,0.00,0.00,,HKO,HKO,0,0.00,-12.00,10.00,10.00,-12.00,-8.00,-8.00,0.00,0.50,3.50,1.67,"HD AR",Grey,None,active,13,34.00,directlens,"prog ff",no,0,0,110,9,"0000-00-00 00:00:00",,,,"Prix mis a jour par (script de Charles)2019-03-19","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,"NUM IOT"
