user_id,order_num,order_num_optipro,prescript_lab,order_date_processed,order_product_price,order_total
monctonsafe,1583996,27,25,2022-09-08,130.30,151.24
monctonsafe,1584589,8,25,2022-09-13,115.30,138.54
monctonsafe,1585548,176,25,2022-09-21,79.98,116.92
monctonsafe,1587112,322,25,2022-10-03,79.98,105.42
monctonsafe,1588771,,25,2022-10-17,79.98,88.48
monctonsafe,1589719,568,25,2022-10-25,79.98,103.22
monctonsafe,1589855,313,25,2022-10-25,168.00,191.24
monctonsafe,1589910,586,25,2022-10-26,186.30,209.54
monctonsafe,1592222,713,25,2022-11-14,101.30,126.74
monctonsafe,1592649,,25,2022-11-17,79.98,85.98
monctonsafe,1595785,925,25,2022-12-12,79.98,103.22
monctonsafe,1598217,1098,25,2023-01-05,172.30,195.54
monctonsafe,1598811,1101,25,2023-01-11,187.90,211.14
monctonsafe,1601851,1304,25,2023-02-02,155.98,179.22
monctonsafe,1605853,1566,25,2023-03-03,161.00,178.24
monctonsafe,1607210,1656,25,2023-03-14,191.98,226.92
monctonsafe,1619298,2260,25,2023-06-09,101.30,126.29
monctonsafe,1621526,2370,25,2023-06-27,115.30,138.54
monctonsafe,1622192,2411,25,2023-07-03,113.98,137.22
monctonsafe,1637981,,25,2023-10-31,95.99,101.99
monctonsafe,1641082,3370,25,2023-11-22,130.30,163.80
monctonsafe,1641094,3373,25,2023-11-22,161.00,178.25
monctonsafe,1642009,3321,25,2023-11-28,73.30,90.55
monctonsafe,1655165,4063,25,2024-03-11,102.30,117.25
monctonsafe,1655862,4092,25,2024-03-15,130.30,153.55
monctonsafe,1656152,4096,25,2024-03-18,130.30,150.30
monctonsafe,1657220,4152,25,2024-03-27,188.00,232.00
monctonsafe,1657222,4153,25,2024-03-27,168.00,212.00
monctonsafe,1664691,4535,25,2024-05-18,130.30,168.30
monctonsafe,1667605,4647,25,2024-06-08,208.00,231.25
