primary_key,product_code,color_code,product_name,product_name_en,collection,price,price_can,vendant_edll,cost,cost_us,e_lab_us_price,e_lab_can_price,description,manufacturer,real_manufacturer,abbe,density,sphere_min,sphere_max,sphere_over_max,sphere_over_min,cyl_over_min,cyl_min,cyl_max,add_min,add_max,index_v,coating,photo,polar,prod_status,min_height,max_height,product_line,lens_category,tintable,optipoints_bonus,expressable,diameter,corridor,last_update,product_code_swiss,product_code_hko,product_code_gkb,maj_prix_mars2019,maj_prix_juillet2021,maj_prix_novembre2022,cost_gkb_backup,categorie_optipro
100952,P3A45," ","Promo Precision+ 1.60 Design Tout Usage Clear with AR Backside (Corridor 7mm) ","Promo Precision+ 1.60 Design All Purpose Clear with AR Backside (Corridor 7mm) ","Entrepot Sky",196.50,196.50,205.00,42.14,42.14,0.00,0.00," ",,,0,0.00,-9.50,5.00,5.00,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"AR Backside",None,None,active,11,35.00,directlens,"prog ff",no,0,0," ",7,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100950,PI5," ","Promo Precision+ 1.50 Design Interieur Clear with AR Backside (Corridor 7mm) ","Promo Precision+ 1.50 Design Indoor Clear with AR Backside (Corridor 7mm) ","Entrepot Sky",94.00,94.00,160.00,33.44,33.44,0.00,0.00," ",,,0,0.00,-5.00,4.00,4.00,-5.00,-4.00,-4.00,0.00,0.50,4.00,1.50,"AR Backside",None,None,active,11,35.00,directlens,"prog ff",no,0,0," ",7,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100943,P3A5," ","Promo Precision+ 1.50 Design Tout Usage Clear with AR Backside(Corridor 7mm)","Promo Precision+ 1.50 Design All Purpose Clear with AR Backside(Corridor 7mm) ","Entrepot Sky",94.00,94.00,160.00,33.44,33.44,0.00,0.00," "," "," ",0,0.00,-5.00,4.00,4.00,-5.00,-4.00,-4.00,0.00,0.50,4.00,1.50,"AR Backside",None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",7,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100941,PO49," ","Promo Precision+ 1.60 Design Exterieur Clear with AR Backside (Corridor 11mm) ","Promo Precision+ 1.60 Design Outdoor Clear with AR Backside (Corridor 11mm) ","Entrepot Sky",196.50,196.50,205.00,42.14,42.14,0.00,0.00," "," "," ",0,0.00,-9.50,5.00,5.00,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"AR Backside",None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100935,P3A49," ","Promo Precision+ 1.60 Design Tout Usage Clear with Super AR Backside (Corridor 11mm) ","Promo Precision+ 1.60 Design All Purpose Clear with Super AR Backside (Corridor 11mm) ","Entrepot Sky",86.00,86.00,205.00,42.14,42.14,0.00,0.00," "," "," ",0,0.00,-9.50,5.00,5.00,-9.50,-4.00,-4.00,0.00,0.50,4.00,0.00,"Super AR Backside",None,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100933,PI9," ","Promo Precision+ 1.50 Design Interieur Clear with AR Backside (Corridor 11mm)","Promo Precision+ 1.50 Design Indoor Clear with AR Backside  (Corridor 11mm) ","Entrepot Sky",94.00,94.00,160.00,33.44,33.44,0.00,0.00," "," "," ",0,0.00,-5.00,4.00,4.00,-5.00,-4.00,-4.00,0.00,0.50,4.00,1.50,,None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100921,PI49," ","Promo Precision+ 1.60 Design Interieur Clear with Super AR Backside (Corridor 11mm) ","Promo Precision+ 1.60 Design Indoor Clear with Super AR Backside (Corridor 11mm) ","Entrepot Sky",86.00,86.00,205.00,42.14,42.14,0.00,0.00," "," "," ",0,0.00,-9.50,5.00,5.00,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,,None,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
100903,P3A9," ","Promo Precision+ 1.50 Design Tout Usage Clear with AR Backside (Corridor 11mm)","Promo Precision+ 1.50 Design All Purpose Clear with AR Backside (Corridor 11mm) ","Entrepot Sky",94.00,94.00,160.00,33.44,33.44,0.00,0.00," "," "," ",0,0.00,-5.00,4.00,4.00,-5.00,-4.00,-4.00,0.00,0.50,4.00,1.50,"AR Backside",None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","ne s applique pas car inactif",,
112514,PI547," ","Precision+ 1.60 Design Interieur Transition Brown with AR+ETC (Corridor 9mm) ","Precision+ 1.60 Design Indoor Transition Brown with AR+ETC (Corridor 9mm) ","Entrepot Sky",208.00,208.00,520.00,71.00,71.00,0.00,0.00," "," "," ",0,0.00,-9.50,5.50,5.50,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"Dream AR",Brown,None,active,11,35.00,directlens,"prog ff",,0,0," ",9,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,BETTER
112534,PI7," ","Precision+ 1.50 Design Interieur Clear with AR+ETC (Corridor 9mm) ","Precision+ 1.50 Design Indoor Clear with AR+ETC (Corridor 9mm) ","Entrepot Sky",132.00,132.00,330.00,22.00,22.00,0.00,0.00," "," "," ",0,0.00,-5.00,4.00,4.00,-5.00,-4.00,-4.00,0.00,0.50,4.00,1.50,"Dream AR",None,None,active,11,35.00,directlens,"prog ff",,0,0," ",9,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,BETTER
