primary_key,product_code,color_code,product_name,product_name_en,collection,price,price_can,vendant_edll,cost,cost_us,e_lab_us_price,e_lab_can_price,description,manufacturer,real_manufacturer,abbe,density,sphere_min,sphere_max,sphere_over_max,sphere_over_min,cyl_over_min,cyl_min,cyl_max,add_min,add_max,index_v,coating,photo,polar,prod_status,min_height,max_height,product_line,lens_category,tintable,optipoints_bonus,expressable,diameter,corridor,last_update,product_code_swiss,product_code_hko,product_code_gkb,maj_prix_mars2019,maj_prix_juillet2021,maj_prix_novembre2022,cost_gkb_backup,categorie_optipro
98725,BSD274TGARS," ","Precision+ 1.74 Design Interieur Transition Grey with Super-AR (Corridor 11mm) ","Precision+ 1.74 Design Indoor Transition Grey with Super-AR (Corridor 11mm) ","Entrepot KNR",244.00,244.00,610.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",Grey,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98685,BHD274TBARS," ","Precision+ 1.74 Design Exterieur Transition Brown with Super-AR (Corridor 11mm) ","Precision+ 1.74 Design Outdoor Transition Brown with Super-AR (Corridor 11mm) ","Entrepot KNR",252.00,252.00,630.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Super AR",Brown,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,BETTER
98722,BSD274TGHC," ","Precision+ 1.74 Design Interieur Transition Grey with HC (Corridor 11mm) ","Precision+ 1.74 Design Indoor Transition Grey with HC (Corridor 11mm) ","Entrepot KNR",216.00,216.00,540.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Hard Coat",Grey,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
100951,BIXL60CLHC," ","Promo Precision+ 1.60 Design Tout Usage Clear with HC (Corridor 7mm) ","Promo Precision+ 1.60 Design All Purpose Clear with HC (Corridor 7mm) ","Entrepot KNR",68.00,68.00,170.00,33.90,33.90,0.00,0.00," "," "," ",0,0.00,-9.50,5.00,5.00,-9.50,-4.00,-4.00,0.00,0.50,4.00,1.60,"Hard Coat",None,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",7,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car hc","ne s applique pas car inactif",,
98682,BHD274TBHC," ","Precision+ 1.74 Design Exterieur Transition Brown with HC (Corridor 11mm) ","Precision+ 1.74 Design Outdoor Transition Brown with HC (Corridor 11mm) ","Entrepot KNR",216.00,216.00,540.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Hard Coat",Brown,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car hc","Aucune maj a effectuer.(script de Charles)2022-11-08",,BETTER
98719,BSD274TBARS," ","Precision+ 1.74 Design Interieur Transition Brown with Super-AR (Corridor 11mm) ","Precision+ 1.74 Design Indoor Transition Brown with Super-AR (Corridor 11mm) ","Entrepot KNR",244.00,244.00,610.00,162.24,162.24,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",Brown,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98679,BHD274CLARS," ","Precision+ 1.74 Design Exterieur Clear with Super-AR (Corridor 11mm) ","Precision+ 1.74 Design Outdoor Clear with Super-AR (Corridor 11mm) ","Entrepot KNR",212.00,212.00,530.00,85.49,85.49,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Super AR",None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","Prix mis a jour par (script de Charles)2021-06-28","Prix mis a jour par (script de Charles)2022-11-08",,BETTER
98716,BSD274TBHC," ","Precision+ 1.74 Design Interieur Transition Brown with HC (Corridor 11mm) ","Precision+ 1.74 Design Indoor Transition Brown with HC (Corridor 11mm) ","Entrepot KNR",216.00,216.00,540.00,154.00,154.00,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Hard Coat",Brown,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
98676,BHD274CLHC," ","Precision+ 1.74 Design Exterieur Clear with HC (Corridor 11mm) ","Precision+ 1.74 Design Outdoor Clear with HC (Corridor 11mm) ","Entrepot KNR",176.00,176.00,440.00,77.25,77.25,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,0.50,4.00,1.74,"Hard Coat",None,None,active,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car hc","Aucune maj a effectuer.(script de Charles)2022-11-08",,BETTER
98713,BSD274CLARS," ","Precision+ 1.74 Design Interieur Clear with Super-AR (Corridor 11mm) ","Precision+ 1.74 Design Indoor Clear with Super-AR (Corridor 11mm) ","Entrepot KNR",204.00,204.00,510.00,85.49,85.49,0.00,0.00," "," "," ",0,0.00,-10.25,6.00,6.00,-10.25,-4.75,-4.75,0.00,1.00,5.00,1.74,"Super AR",None,None,inactive,11,35.00,directlens,"prog ff"," ",0,0," ",11,"0000-00-00 00:00:00"," "," "," "," ","ne s applique pas car inactif","ne s applique pas car inactif",,
