V-1040HX;2024-05-01;267-1656102;101.99
V-1000FR;2024-05-10;759-1661273;123.18
V-1040HX;2024-05-01;267-1658424;285.94
V-1040HX;2024-05-01;267-1659906;131.99
V-1040HX;2024-05-01;267-1659405;75.99
V-1040HX;2024-05-03;267-1660384;63.99
V-1040HX;2024-05-08;267-1659623;71.99
V-1040HX;2024-05-08;267-1661191;63.99
V-1040HX;2024-05-10;759-1659874;93.75
V-1040HX;2024-05-08;267-1659907;49.99
27300;2024-05-09;836-1662488;138
V-1040HX;2024-05-01;267-1660032;89.99
V-1040HX;2024-05-01;267-1660074;132.99
V-1040HX;2024-05-07;267-1661977;87.99
V-1040HX;2024-05-03;267-1660075;116.99
V-1040HX;2024-05-01;267-1660107;92.99
V-1000FR;2024-05-02;759-1660112;209.54
V-1040HX;2024-05-13;267-1661848;141.99
V-1040HX;2024-05-01;267-1660197;37.99
V-1040HX;2024-05-02;267-1660219;101.99
V-1000NB;2024-05-02;759-1660278;61.14
V-1000SO;2024-05-10;759-1660286;150.97
27300;2024-05-10;533-1660308;40.95
V-1040HX;2024-05-03;267-1660385;29.99
V-1040HX;2024-05-03;267-1660386;29.99
V-1040HX;2024-05-22;267-1660471;99.99
V-1040HX;2024-05-06;267-1662148;27.99
V-1040HX;2024-05-03;267-1661205;57.99
V-1040HX;2024-05-02;267-1660426;77.99
V-1040HX;2024-05-03;267-1660436;179.99
V-1040HX;2024-05-03;267-1660437;27.99
V-1040HX;2024-05-03;267-1660438;63.99
V-1040HX;2024-05-03;267-1660506;175.99
V-1040HX;2024-05-03;267-1660507;157.99
V-1040HX;2024-05-03;267-1660508;233.99
V-1040HX;2024-05-03;267-1660511;113.99
V-1040HX;2024-05-03;267-1660512;59.99
V-1040HX;2024-05-03;267-1660513;229.99
V-1040HX;2024-05-03;267-1660525;282
V-1000SJ;2024-05-03;759-1660710;175.55
V-1040HX;2024-05-02;267-1660570;27.99
V-1040HX;2024-05-08;267-1660837;63.99
V-1040HX;2024-05-01;267-1660838;63.99
